embed_dim,true_k,dataset_id,n,p,B,n_jobs,n_test_ks,model,t_carve_sec,t_carve_per_k_sec,t_external_sec
237,6,19,500,237,20,10,6,spectral,11.317551832995377,1.8862586388325628,1.608753458946012
322,3,0,500,322,20,10,6,spectral,11.50633362494409,1.9177222708240151,1.4815217499854043
322,4,0,500,322,20,10,6,spectral,11.626010333071463,1.9376683888452437,1.4959632500540465
322,5,0,500,322,20,10,6,spectral,11.90514537494164,1.9841908958236065,1.4492819170700386
322,6,0,500,322,20,10,6,spectral,12.33811962499749,2.056353270832915,1.653880166937597
322,3,1,500,322,20,10,6,spectral,11.610789417056367,1.9351315695093945,1.4177191249327734
322,4,1,500,322,20,10,6,spectral,11.659801666042767,1.9433002776737947,1.481217790977098
322,5,1,500,322,20,10,6,spectral,12.084106959053315,2.0140178265088857,1.5748087499523535
322,6,1,500,322,20,10,6,spectral,12.280833582975902,2.0468055971626504,1.6896964999614283
322,3,2,500,322,20,10,6,spectral,11.39527554193046,1.8992125903217432,1.4522696249186993
322,4,2,500,322,20,10,6,spectral,11.581925875041634,1.9303209791736056,1.5577194170327857
322,5,2,500,322,20,10,6,spectral,12.002022208995186,2.000337034832531,1.56807008292526
322,6,2,500,322,20,10,6,spectral,12.422213957994245,2.070368992999041,1.5597355000209063
322,3,3,500,322,20,10,6,spectral,11.47965587489307,1.913275979148845,1.5546921250643209
322,4,3,500,322,20,10,6,spectral,11.467110375058837,1.9111850625098061,1.5052742919651791
322,5,3,500,322,20,10,6,spectral,12.13000645802822,2.0216677430047034,1.5775847090408206
322,6,3,500,322,20,10,6,spectral,12.273562459042296,2.045593743173716,1.6152167919790372
322,3,4,500,322,20,10,6,spectral,11.859469958930276,1.9765783264883794,1.4965784159721807
322,4,4,500,322,20,10,6,spectral,11.630813249968924,1.9384688749948207,1.471612291992642
322,5,4,500,322,20,10,6,spectral,12.083069917047396,2.013844986174566,1.603481209021993
322,6,4,500,322,20,10,6,spectral,12.51556933298707,2.0859282221645117,1.6676152920117602
322,3,5,500,322,20,10,6,spectral,11.487975333002396,1.9146625555003993,1.4942909999517724
322,4,5,500,322,20,10,6,spectral,11.494392124935985,1.915732020822664,1.4904107080074027
322,5,5,500,322,20,10,6,spectral,11.883018958033063,1.9805031596721772,1.6375284170499071
322,6,5,500,322,20,10,6,spectral,12.226416749996133,2.0377361249993555,1.7142928750254214
322,3,6,500,322,20,10,6,spectral,11.452371874940582,1.9087286458234303,1.5316107079852372
322,4,6,500,322,20,10,6,spectral,11.576577416039072,1.9294295693398453,1.5169255411019549
322,5,6,500,322,20,10,6,spectral,12.287592916050926,2.047932152675154,1.784196500084363
322,6,6,500,322,20,10,6,spectral,13.34448450000491,2.224080750000818,1.7427914580330253
322,3,7,500,322,20,10,6,spectral,12.271472375025041,2.0452453958375068,1.5843829590594396
322,4,7,500,322,20,10,6,spectral,12.553004584042355,2.092167430673726,1.6178649999201298
322,5,7,500,322,20,10,6,spectral,12.953947624890134,2.1589912708150223,1.759019208024256
322,6,7,500,322,20,10,6,spectral,13.206021999940276,2.2010036666567125,1.6814967499813065
322,3,8,500,322,20,10,6,spectral,12.1651650830172,2.0275275138362,1.6515239160507917
322,4,8,500,322,20,10,6,spectral,13.344030332984403,2.2240050554974005,1.8898012499557808
322,5,8,500,322,20,10,6,spectral,12.980858125025406,2.1634763541709012,1.6045892080292106
322,6,8,500,322,20,10,6,spectral,13.22281937499065,2.2038032291651084,1.897432875004597
322,3,9,500,322,20,10,6,spectral,12.785969458054751,2.130994909675792,1.8270687079057097
322,4,9,500,322,20,10,6,spectral,11.762324874987826,1.9603874791646376,1.6103320000693202
322,5,9,500,322,20,10,6,spectral,12.14827058406081,2.024711764010135,1.487955000018701
322,6,9,500,322,20,10,6,spectral,12.144405334023759,2.0240675556706265,1.6375515830004588
322,3,10,500,322,20,10,6,spectral,11.353843750082888,1.8923072916804813,1.4880161669570953
